20140203 000000;1741.89;1741.89;1741.89;1741.89;000;
20140131 000000;1782.59;1782.59;1782.59;1782.59;000;
20140130 000000;1794.19;1794.19;1794.19;1794.19;000;
20140129 000000;1774.20;1774.20;1774.20;1774.20;000;
20140128 000000;1792.50;1792.50;1792.50;1792.50;000;
20140127 000000;1781.56;1781.56;1781.56;1781.56;000;
20140124 000000;1790.29;1790.29;1790.29;1790.29;000;
20140123 000000;1828.46;1828.46;1828.46;1828.46;000;
20140122 000000;1844.86;1844.86;1844.86;1844.86;000;
20140121 000000;1843.80;1843.80;1843.80;1843.80;000;
20140117 000000;1838.70;1838.70;1838.70;1838.70;000;
20140116 000000;1845.89;1845.89;1845.89;1845.89;000;
20140115 000000;1848.38;1848.38;1848.38;1848.38;000;
20140114 000000;1838.88;1838.88;1838.88;1838.88;000;
20140113 000000;1819.20;1819.20;1819.20;1819.20;000;
20140110 000000;1842.37;1842.37;1842.37;1842.37;000;
20140109 000000;1838.13;1838.13;1838.13;1838.13;000;
20140108 000000;1837.49;1837.49;1837.49;1837.49;000;
20140107 000000;1837.88;1837.88;1837.88;1837.88;000;
20140106 000000;1826.77;1826.77;1826.77;1826.77;000;
20140103 000000;1831.37;1831.37;1831.37;1831.37;000;
20140102 000000;1831.98;1831.98;1831.98;1831.98;000;
20131231 000000;1848.36;1848.36;1848.36;1848.36;000;
20131230 000000;1841.07;1841.07;1841.07;1841.07;000;
20131227 000000;1841.40;1841.40;1841.40;1841.40;000;
20131226 000000;1842.02;1842.02;1842.02;1842.02;000;
20131224 000000;1833.32;1833.32;1833.32;1833.32;000;
20131223 000000;1827.99;1827.99;1827.99;1827.99;000;
20131220 000000;1818.32;1818.32;1818.32;1818.32;000;
20131219 000000;1809.60;1809.60;1809.60;1809.60;000;
20131218 000000;1810.65;1810.65;1810.65;1810.65;000;
20131217 000000;1781.00;1781.00;1781.00;1781.00;000;
20131216 000000;1786.54;1786.54;1786.54;1786.54;000;
20131213 000000;1775.32;1775.32;1775.32;1775.32;000;
20131212 000000;1775.50;1775.50;1775.50;1775.50;000;
